'Elapsed time','ECG'
'hh:mm:ss.mmm','mV'
'0:00.000',-0.505
'0:00.008',-0.495
'0:00.016',-0.545
'0:00.023',-0.445
'0:00.031',-0.275
'0:00.039',-0.145
'0:00.047',-0.135
'0:00.055',-0.125
'0:00.063',-0.135
'0:00.070',-0.125
'0:00.078',-0.125
'0:00.086',-0.115
'0:00.094',-0.115
'0:00.102',-0.115
'0:00.109',-0.095
'0:00.117',-0.105
'0:00.125',-0.095
'0:00.133',-0.095
'0:00.141',-0.095
'0:00.148',-0.085
'0:00.156',-0.095
'0:00.164',-0.055
'0:00.172',-0.045
'0:00.180',-0.055
'0:00.188',-0.045
'0:00.195',-0.045
'0:00.203',-0.045
'0:00.211',-0.025
'0:00.219',-0.005
'0:00.227',0.005
'0:00.234',0.015
'0:00.242',0.025
'0:00.250',0.065
'0:00.258',0.125
'0:00.266',0.135
'0:00.273',0.165
'0:00.281',0.195
'0:00.289',0.235
'0:00.297',0.275
'0:00.305',0.285
'0:00.313',0.305
'0:00.320',0.305
'0:00.328',0.285
'0:00.336',0.255
'0:00.344',0.185
'0:00.352',0.125
'0:00.359',0.065
'0:00.367',-0.025
'0:00.375',-0.055
'0:00.383',-0.115
'0:00.391',-0.145
'0:00.398',-0.185
'0:00.406',-0.165
'0:00.414',-0.155
'0:00.422',-0.185
'0:00.430',-0.195
'0:00.438',-0.195
'0:00.445',-0.185
'0:00.453',-0.205
'0:00.461',-0.195
'0:00.469',-0.175
'0:00.477',-0.185
'0:00.484',-0.175
'0:00.492',-0.175
'0:00.500',-0.165
'0:00.508',-0.145
'0:00.516',-0.185
'0:00.523',-0.155
'0:00.531',-0.135
'0:00.539',-0.135
'0:00.547',-0.125
'0:00.555',-0.115
'0:00.563',-0.125
'0:00.570',-0.135
'0:00.578',-0.145
'0:00.586',-0.115
'0:00.594',-0.135
'0:00.602',-0.135
'0:00.609',-0.125
'0:00.617',-0.135
'0:00.625',-0.135
'0:00.633',-0.145
'0:00.641',-0.135
'0:00.648',-0.135
'0:00.656',-0.145
'0:00.664',-0.135
'0:00.672',-0.145
'0:00.680',-0.135
'0:00.688',-0.125
'0:00.695',-0.145
'0:00.703',-0.155
'0:00.711',-0.135
'0:00.719',-0.155
'0:00.727',-0.155
'0:00.734',-0.145
'0:00.742',-0.135
'0:00.750',-0.145
'0:00.758',-0.145
'0:00.766',-0.155
'0:00.773',-0.125
'0:00.781',-0.145
'0:00.789',-0.125
'0:00.797',-0.135
'0:00.805',-0.135
'0:00.813',-0.135
'0:00.820',-0.135
'0:00.828',-0.145
'0:00.836',-0.135
'0:00.844',-0.135
'0:00.852',-0.125
'0:00.859',-0.125
'0:00.867',-0.145
'0:00.875',-0.125
'0:00.883',-0.125
'0:00.891',-0.145
'0:00.898',-0.135
'0:00.906',-0.125
'0:00.914',-0.125
'0:00.922',-0.115
'0:00.930',-0.125
'0:00.938',-0.135
'0:00.945',-0.115
'0:00.953',-0.135
'0:00.961',-0.115
'0:00.969',-0.115
'0:00.977',-0.135
'0:00.984',-0.115
'0:00.992',-0.135
'0:01.000',-0.105
'0:01.008',-0.105
'0:01.016',-0.125
'0:01.023',-0.125
'0:01.031',-0.115
'0:01.039',-0.115
'0:01.047',-0.115
'0:01.055',-0.125
'0:01.063',-0.105
'0:01.070',-0.105
'0:01.078',-0.125
'0:01.086',-0.125
'0:01.094',-0.075
'0:01.102',-0.085
'0:01.109',-0.095
'0:01.117',-0.105
'0:01.125',-0.095
'0:01.133',-0.095
'0:01.141',-0.105
'0:01.148',-0.095
'0:01.156',-0.095
'0:01.164',-0.095
'0:01.172',-0.085
'0:01.180',-0.105
'0:01.188',-0.105
'0:01.195',-0.105
'0:01.203',-0.115
'0:01.211',-0.105
'0:01.219',-0.105
'0:01.227',-0.105
'0:01.234',-0.085
'0:01.242',-0.135
'0:01.250',-0.045
'0:01.258',0.175
'0:01.266',0.705
'0:01.273',1.315
'0:01.281',1.415
'0:01.289',0.975
'0:01.297',0.335
'0:01.305',-0.305
'0:01.313',-0.545
'0:01.320',-0.515
'0:01.328',-0.555
'0:01.336',-0.575
'0:01.344',-0.495
'0:01.352',-0.355
'0:01.359',-0.175
'0:01.367',-0.155
'0:01.375',-0.155
'0:01.383',-0.155
'0:01.391',-0.165
'0:01.398',-0.115
'0:01.406',-0.145
'0:01.414',-0.145
'0:01.422',-0.115
'0:01.430',-0.125
'0:01.438',-0.115
'0:01.445',-0.105
'0:01.453',-0.115
'0:01.461',-0.115
'0:01.469',-0.095
'0:01.477',-0.095
'0:01.484',-0.075
'0:01.492',-0.085
'0:01.500',-0.065
'0:01.508',-0.065
