'Time','ECG'
'hh:mm:ss.mmm','mV'
'[09:20:00.000]',0.525
'[09:20:00.008]',0.695
'[09:20:00.016]',0.475
'[09:20:00.023]',0.015
'[09:20:00.031]',-0.155
'[09:20:00.039]',-0.115
'[09:20:00.047]',-0.065
'[09:20:00.055]',-0.035
'[09:20:00.063]',-0.015
'[09:20:00.070]',-0.015
'[09:20:00.078]',-0.015
'[09:20:00.086]',-0.015
'[09:20:00.094]',-0.015
'[09:20:00.102]',-0.015
'[09:20:00.109]',-0.015
'[09:20:00.117]',-0.015
'[09:20:00.125]',-0.015
'[09:20:00.133]',-0.005
'[09:20:00.141]',-0.015
'[09:20:00.148]',-0.015
'[09:20:00.156]',-0.025
'[09:20:00.164]',-0.025
'[09:20:00.172]',-0.025
'[09:20:00.180]',-0.035
'[09:20:00.188]',-0.025
'[09:20:00.195]',-0.035
'[09:20:00.203]',-0.035
'[09:20:00.211]',-0.035
'[09:20:00.219]',-0.045
'[09:20:00.227]',-0.055
'[09:20:00.234]',-0.065
'[09:20:00.242]',-0.065
'[09:20:00.250]',-0.075
'[09:20:00.258]',-0.085
'[09:20:00.266]',-0.095
'[09:20:00.273]',-0.085
'[09:20:00.281]',-0.085
'[09:20:00.289]',-0.075
'[09:20:00.297]',-0.085
'[09:20:00.305]',-0.065
'[09:20:00.313]',-0.065
'[09:20:00.320]',-0.075
'[09:20:00.328]',-0.085
'[09:20:00.336]',-0.095
'[09:20:00.344]',-0.115
'[09:20:00.352]',-0.125
'[09:20:00.359]',-0.135
'[09:20:00.367]',-0.125
'[09:20:00.375]',-0.105
'[09:20:00.383]',-0.115
'[09:20:00.391]',-0.115
'[09:20:00.398]',-0.115
'[09:20:00.406]',-0.115
'[09:20:00.414]',-0.115
'[09:20:00.422]',-0.105
'[09:20:00.430]',-0.095
'[09:20:00.438]',-0.085
'[09:20:00.445]',-0.095
'[09:20:00.453]',-0.095
'[09:20:00.461]',-0.085
'[09:20:00.469]',-0.095
'[09:20:00.477]',-0.085
'[09:20:00.484]',-0.095
'[09:20:00.492]',-0.105
'[09:20:00.500]',-0.105
'[09:20:00.508]',-0.115
'[09:20:00.516]',-0.115
'[09:20:00.523]',-0.125
'[09:20:00.531]',-0.155
'[09:20:00.539]',-0.145
'[09:20:00.547]',-0.145
'[09:20:00.555]',-0.145
'[09:20:00.563]',-0.135
'[09:20:00.570]',-0.145
'[09:20:00.578]',-0.105
'[09:20:00.586]',-0.055
'[09:20:00.594]',-0.055
'[09:20:00.602]',-0.045
'[09:20:00.609]',-0.025
'[09:20:00.617]',0.055
'[09:20:00.625]',0.015
'[09:20:00.633]',-0.025
'[09:20:00.641]',-0.015
'[09:20:00.648]',-0.115
'[09:20:00.656]',-0.165
'[09:20:00.664]',-0.175
'[09:20:00.672]',-0.215
'[09:20:00.680]',-0.215
'[09:20:00.688]',-0.185
'[09:20:00.695]',-0.165
'[09:20:00.703]',-0.265
'[09:20:00.711]',0.105
'[09:20:00.719]',0.955
'[09:20:00.727]',1.865
'[09:20:00.734]',2.445
'[09:20:00.742]',1.345
'[09:20:00.750]',-0.475
'[09:20:00.758]',-0.885
'[09:20:00.766]',-0.665
'[09:20:00.773]',-0.465
'[09:20:00.781]',-0.355
'[09:20:00.789]',-0.315
'[09:20:00.797]',-0.315
'[09:20:00.805]',-0.295
'[09:20:00.813]',-0.295
'[09:20:00.820]',-0.285
'[09:20:00.828]',-0.295
'[09:20:00.836]',-0.295
'[09:20:00.844]',-0.275
'[09:20:00.852]',-0.275
'[09:20:00.859]',-0.265
'[09:20:00.867]',-0.255
'[09:20:00.875]',-0.225
'[09:20:00.883]',-0.235
'[09:20:00.891]',-0.235
'[09:20:00.898]',-0.225
'[09:20:00.906]',-0.215
'[09:20:00.914]',-0.215
'[09:20:00.922]',-0.205
'[09:20:00.930]',-0.195
'[09:20:00.938]',-0.185
'[09:20:00.945]',-0.205
'[09:20:00.953]',-0.215
'[09:20:00.961]',-0.215
'[09:20:00.969]',-0.225
'[09:20:00.977]',-0.245
'[09:20:00.984]',-0.235
'[09:20:00.992]',-0.235
'[09:20:01.000]',-0.185
'[09:20:01.008]',-0.175
'[09:20:01.016]',-0.155
'[09:20:01.023]',-0.145
'[09:20:01.031]',-0.155
'[09:20:01.039]',-0.155
'[09:20:01.047]',-0.155
'[09:20:01.055]',-0.165
'[09:20:01.063]',-0.155
'[09:20:01.070]',-0.155
'[09:20:01.078]',-0.165
'[09:20:01.086]',-0.155
'[09:20:01.094]',-0.185
'[09:20:01.102]',-0.155
'[09:20:01.109]',-0.165
'[09:20:01.117]',-0.135
'[09:20:01.125]',-0.125
'[09:20:01.133]',-0.125
'[09:20:01.141]',-0.115
'[09:20:01.148]',-0.095
'[09:20:01.156]',-0.095
'[09:20:01.164]',-0.085
'[09:20:01.172]',-0.075
'[09:20:01.180]',-0.075
'[09:20:01.188]',-0.055
'[09:20:01.195]',-0.075
'[09:20:01.203]',-0.085
'[09:20:01.211]',-0.065
'[09:20:01.219]',-0.095
'[09:20:01.227]',-0.085
'[09:20:01.234]',-0.085
'[09:20:01.242]',-0.085
'[09:20:01.250]',-0.095
'[09:20:01.258]',-0.105
'[09:20:01.266]',-0.115
'[09:20:01.273]',-0.085
'[09:20:01.281]',-0.045
'[09:20:01.289]',-0.025
'[09:20:01.297]',-0.025
'[09:20:01.305]',0.005
'[09:20:01.313]',0.065
'[09:20:01.320]',0.085
'[09:20:01.328]',0.015
'[09:20:01.336]',-0.015
'[09:20:01.344]',-0.015
'[09:20:01.352]',-0.115
'[09:20:01.359]',-0.135
'[09:20:01.367]',-0.155
'[09:20:01.375]',-0.175
'[09:20:01.383]',-0.165
'[09:20:01.391]',-0.155
'[09:20:01.398]',-0.255
'[09:20:01.406]',-0.035
'[09:20:01.414]',0.745
'[09:20:01.422]',1.685
'[09:20:01.430]',2.435
'[09:20:01.438]',1.695
'[09:20:01.445]',-0.225
'[09:20:01.453]',-0.925
'[09:20:01.461]',-0.715
'[09:20:01.469]',-0.485
'[09:20:01.477]',-0.355
'[09:20:01.484]',-0.315
'[09:20:01.492]',-0.315
'[09:20:01.500]',-0.295
'[09:20:01.508]',-0.295
'[09:20:01.516]',-0.295
'[09:20:01.523]',-0.295
'[09:20:01.531]',-0.295
'[09:20:01.539]',-0.285
'[09:20:01.547]',-0.275
'[09:20:01.555]',-0.265
'[09:20:01.563]',-0.255
'[09:20:01.570]',-0.255
'[09:20:01.578]',-0.265
'[09:20:01.586]',-0.245
'[09:20:01.594]',-0.255
'[09:20:01.602]',-0.235
'[09:20:01.609]',-0.235
'[09:20:01.617]',-0.215
'[09:20:01.625]',-0.205
'[09:20:01.633]',-0.215
'[09:20:01.641]',-0.215
'[09:20:01.648]',-0.205
'[09:20:01.656]',-0.225
'[09:20:01.664]',-0.225
'[09:20:01.672]',-0.225
'[09:20:01.680]',-0.215
'[09:20:01.688]',-0.215
'[09:20:01.695]',-0.195
'[09:20:01.703]',-0.185
'[09:20:01.711]',-0.165
'[09:20:01.719]',-0.155
'[09:20:01.727]',-0.155
'[09:20:01.734]',-0.155
'[09:20:01.742]',-0.155
'[09:20:01.750]',-0.145
'[09:20:01.758]',-0.155
'[09:20:01.766]',-0.165
'[09:20:01.773]',-0.165
'[09:20:01.781]',-0.175
'[09:20:01.789]',-0.155
'[09:20:01.797]',-0.165
'[09:20:01.805]',-0.155
'[09:20:01.813]',-0.145
'[09:20:01.820]',-0.135
'[09:20:01.828]',-0.145
'[09:20:01.836]',-0.125
'[09:20:01.844]',-0.145
'[09:20:01.852]',-0.105
'[09:20:01.859]',-0.115
'[09:20:01.867]',-0.105
'[09:20:01.875]',-0.105
'[09:20:01.883]',-0.095
'[09:20:01.891]',-0.095
'[09:20:01.898]',-0.095
'[09:20:01.906]',-0.105
'[09:20:01.914]',-0.105
'[09:20:01.922]',-0.105
'[09:20:01.930]',-0.105
'[09:20:01.938]',-0.095
'[09:20:01.945]',-0.125
'[09:20:01.953]',-0.125
'[09:20:01.961]',-0.125
'[09:20:01.969]',-0.115
'[09:20:01.977]',-0.055
'[09:20:01.984]',-0.035
'[09:20:01.992]',-0.025
'[09:20:02.000]',0.015
'[09:20:02.008]',0.025
'[09:20:02.016]',0.105
'[09:20:02.023]',0.025
'[09:20:02.031]',-0.025
'[09:20:02.039]',-0.005
'[09:20:02.047]',-0.095
'[09:20:02.055]',-0.155
'[09:20:02.063]',-0.155
'[09:20:02.070]',-0.195
'[09:20:02.078]',-0.205
'[09:20:02.086]',-0.185
'[09:20:02.094]',-0.195
'[09:20:02.102]',-0.275
'[09:20:02.109]',0.315
'[09:20:02.117]',1.275
'[09:20:02.125]',2.325
'[09:20:02.133]',2.445
'[09:20:02.141]',0.385
'[09:20:02.148]',-0.985
'[09:20:02.156]',-0.855
'[09:20:02.164]',-0.525
'[09:20:02.172]',-0.355
'[09:20:02.180]',-0.295
'[09:20:02.188]',-0.265
'[09:20:02.195]',-0.285
'[09:20:02.203]',-0.275
'[09:20:02.211]',-0.265
'[09:20:02.219]',-0.265
'[09:20:02.227]',-0.255
'[09:20:02.234]',-0.245
'[09:20:02.242]',-0.245
'[09:20:02.250]',-0.235
'[09:20:02.258]',-0.235
'[09:20:02.266]',-0.225
'[09:20:02.273]',-0.215
'[09:20:02.281]',-0.235
'[09:20:02.289]',-0.205
'[09:20:02.297]',-0.195
'[09:20:02.305]',-0.195
'[09:20:02.313]',-0.175
'[09:20:02.320]',-0.185
'[09:20:02.328]',-0.175
'[09:20:02.336]',-0.165
'[09:20:02.344]',-0.165
'[09:20:02.352]',-0.155
'[09:20:02.359]',-0.165
'[09:20:02.367]',-0.165
'[09:20:02.375]',-0.165
'[09:20:02.383]',-0.165
'[09:20:02.391]',-0.155
'[09:20:02.398]',-0.125
'[09:20:02.406]',-0.125
'[09:20:02.414]',-0.085
'[09:20:02.422]',-0.095
'[09:20:02.430]',-0.105
'[09:20:02.438]',-0.095
'[09:20:02.445]',-0.115
'[09:20:02.453]',-0.115
'[09:20:02.461]',-0.115
'[09:20:02.469]',-0.135
'[09:20:02.477]',-0.115
'[09:20:02.484]',-0.135
'[09:20:02.492]',-0.115
'[09:20:02.500]',-0.105
'[09:20:02.508]',-0.115
'[09:20:02.516]',-0.115
'[09:20:02.523]',-0.105
'[09:20:02.531]',-0.115
'[09:20:02.539]',-0.085
'[09:20:02.547]',-0.085
'[09:20:02.555]',-0.065
'[09:20:02.563]',-0.055
'[09:20:02.570]',-0.055
'[09:20:02.578]',-0.055
'[09:20:02.586]',-0.055
'[09:20:02.594]',-0.055
'[09:20:02.602]',-0.035
'[09:20:02.609]',-0.055
'[09:20:02.617]',-0.045
'[09:20:02.625]',-0.035
'[09:20:02.633]',-0.055
'[09:20:02.641]',-0.065
'[09:20:02.648]',-0.065
'[09:20:02.656]',-0.075
'[09:20:02.664]',-0.065
'[09:20:02.672]',-0.075
'[09:20:02.680]',-0.075
'[09:20:02.688]',-0.065
'[09:20:02.695]',-0.065
'[09:20:02.703]',-0.005
'[09:20:02.711]',0.015
'[09:20:02.719]',0.005
'[09:20:02.727]',0.035
'[09:20:02.734]',0.075
'[09:20:02.742]',0.155
'[09:20:02.750]',0.085
'[09:20:02.758]',0.045
'[09:20:02.766]',0.045
'[09:20:02.773]',-0.025
'[09:20:02.781]',-0.095
'[09:20:02.789]',-0.075
'[09:20:02.797]',-0.135
'[09:20:02.805]',-0.115
'[09:20:02.813]',-0.095
'[09:20:02.820]',-0.095
'[09:20:02.828]',-0.215
'[09:20:02.836]',0.215
'[09:20:02.844]',1.085
'[09:20:02.852]',2.085
'[09:20:02.859]',2.675
'[09:20:02.867]',1.505
'[09:20:02.875]',-0.495
'[09:20:02.883]',-0.935
'[09:20:02.891]',-0.625
'[09:20:02.898]',-0.355
'[09:20:02.906]',-0.215
'[09:20:02.914]',-0.205
'[09:20:02.922]',-0.215
'[09:20:02.930]',-0.205
'[09:20:02.938]',-0.195
'[09:20:02.945]',-0.185
'[09:20:02.953]',-0.185
'[09:20:02.961]',-0.175
'[09:20:02.969]',-0.155
'[09:20:02.977]',-0.175
'[09:20:02.984]',-0.155
'[09:20:02.992]',-0.145
'[09:20:03.000]',-0.145
'[09:20:03.008]',-0.125
'[09:20:03.016]',-0.135
'[09:20:03.023]',-0.135
'[09:20:03.031]',-0.115
'[09:20:03.039]',-0.125
'[09:20:03.047]',-0.115
'[09:20:03.055]',-0.095
'[09:20:03.063]',-0.095
'[09:20:03.070]',-0.095
'[09:20:03.078]',-0.105
'[09:20:03.086]',-0.095
'[09:20:03.094]',-0.095
'[09:20:03.102]',-0.105
'[09:20:03.109]',-0.105
'[09:20:03.117]',-0.085
'[09:20:03.125]',-0.065
'[09:20:03.133]',-0.045
'[09:20:03.141]',-0.045
'[09:20:03.148]',-0.045
'[09:20:03.156]',-0.035
'[09:20:03.164]',-0.045
'[09:20:03.172]',-0.055
'[09:20:03.180]',-0.055
'[09:20:03.188]',-0.055
'[09:20:03.195]',-0.065
'[09:20:03.203]',-0.065
'[09:20:03.211]',-0.085
'[09:20:03.219]',-0.085
'[09:20:03.227]',-0.075
'[09:20:03.234]',-0.065
'[09:20:03.242]',-0.075
'[09:20:03.250]',-0.055
'[09:20:03.258]',-0.045
'[09:20:03.266]',-0.035
'[09:20:03.273]',-0.035
'[09:20:03.281]',-0.025
'[09:20:03.289]',-0.015
'[09:20:03.297]',-0.005
'[09:20:03.305]',-0.005
'[09:20:03.313]',0.005
'[09:20:03.320]',0.005
'[09:20:03.328]',-0.015
'[09:20:03.336]',-0.015
'[09:20:03.344]',-0.035
'[09:20:03.352]',-0.015
'[09:20:03.359]',-0.015
'[09:20:03.367]',-0.005
'[09:20:03.375]',-0.015
'[09:20:03.383]',-0.015
'[09:20:03.391]',-0.025
'[09:20:03.398]',-0.025
'[09:20:03.406]',-0.035
'[09:20:03.414]',-0.035
'[09:20:03.422]',-0.035
'[09:20:03.430]',-0.025
'[09:20:03.438]',0.045
'[09:20:03.445]',0.065
'[09:20:03.453]',0.055
'[09:20:03.461]',0.075
'[09:20:03.469]',0.095
'[09:20:03.477]',0.165
'[09:20:03.484]',0.105
'[09:20:03.492]',0.075
'[09:20:03.500]',0.095
'[09:20:03.508]',-0.015
'[09:20:03.516]',-0.045
'[09:20:03.523]',-0.075
'[09:20:03.531]',-0.105
'[09:20:03.539]',-0.095
'[09:20:03.547]',-0.085
'[09:20:03.555]',-0.125
'[09:20:03.563]',-0.125
'[09:20:03.570]',0.375
'[09:20:03.578]',1.235
'[09:20:03.586]',2.155
'[09:20:03.594]',2.585
'[09:20:03.602]',1.285
'[09:20:03.609]',-0.615
'[09:20:03.617]',-0.895
'[09:20:03.625]',-0.555
'[09:20:03.633]',-0.325
'[09:20:03.641]',-0.225
'[09:20:03.648]',-0.205
'[09:20:03.656]',-0.205
'[09:20:03.664]',-0.195
'[09:20:03.672]',-0.195
'[09:20:03.680]',-0.185
'[09:20:03.688]',-0.175
'[09:20:03.695]',-0.175
'[09:20:03.703]',-0.175
'[09:20:03.711]',-0.165
'[09:20:03.719]',-0.175
'[09:20:03.727]',-0.155
'[09:20:03.734]',-0.145
'[09:20:03.742]',-0.145
'[09:20:03.750]',-0.135
'[09:20:03.758]',-0.135
'[09:20:03.766]',-0.125
'[09:20:03.773]',-0.115
'[09:20:03.781]',-0.125
'[09:20:03.789]',-0.105
'[09:20:03.797]',-0.095
'[09:20:03.805]',-0.095
'[09:20:03.813]',-0.095
'[09:20:03.820]',-0.095
'[09:20:03.828]',-0.105
'[09:20:03.836]',-0.095
'[09:20:03.844]',-0.095
'[09:20:03.852]',-0.075
'[09:20:03.859]',-0.055
'[09:20:03.867]',-0.025
'[09:20:03.875]',0.005
'[09:20:03.883]',-0.005
'[09:20:03.891]',-0.025
'[09:20:03.898]',-0.025
'[09:20:03.906]',-0.045
'[09:20:03.914]',-0.055
'[09:20:03.922]',-0.045
'[09:20:03.930]',-0.035
'[09:20:03.938]',-0.035
'[09:20:03.945]',-0.055
'[09:20:03.953]',-0.055
'[09:20:03.961]',-0.055
'[09:20:03.969]',-0.055
'[09:20:03.977]',-0.045
'[09:20:03.984]',-0.045
'[09:20:03.992]',-0.025
'[09:20:04.000]',0.005
'[09:20:04.008]',-0.005
'[09:20:04.016]',-0.005
'[09:20:04.023]',0.005
'[09:20:04.031]',0.005
'[09:20:04.039]',0.015
'[09:20:04.047]',0.005
'[09:20:04.055]',0.015
'[09:20:04.063]',0.025
'[09:20:04.070]',0.015
'[09:20:04.078]',-0.005
'[09:20:04.086]',0.005
'[09:20:04.094]',-0.015
'[09:20:04.102]',-0.005
'[09:20:04.109]',-0.025
'[09:20:04.117]',-0.025
'[09:20:04.125]',-0.015
'[09:20:04.133]',-0.025
'[09:20:04.141]',-0.045
'[09:20:04.148]',-0.035
'[09:20:04.156]',-0.045
'[09:20:04.164]',-0.035
'[09:20:04.172]',-0.045
'[09:20:04.180]',-0.045
'[09:20:04.188]',-0.005
'[09:20:04.195]',0.045
'[09:20:04.203]',0.045
'[09:20:04.211]',0.055
'[09:20:04.219]',0.065
'[09:20:04.227]',0.145
'[09:20:04.234]',0.125
'[09:20:04.242]',0.085
'[09:20:04.250]',0.065
'[09:20:04.258]',0.035
'[09:20:04.266]',-0.055
'[09:20:04.273]',-0.055
'[09:20:04.281]',-0.095
'[09:20:04.289]',-0.105
'[09:20:04.297]',-0.085
'[09:20:04.305]',-0.065
'[09:20:04.313]',-0.145
'[09:20:04.320]',0.025
'[09:20:04.328]',0.715
'[09:20:04.336]',1.635
'[09:20:04.344]',2.395
'[09:20:04.352]',1.775
'[09:20:04.359]',-0.155
'[09:20:04.367]',-0.865
'[09:20:04.375]',-0.625
'[09:20:04.383]',-0.375
'[09:20:04.391]',-0.265
'[09:20:04.398]',-0.205
'[09:20:04.406]',-0.225
'[09:20:04.414]',-0.205
'[09:20:04.422]',-0.215
'[09:20:04.430]',-0.205
'[09:20:04.438]',-0.185
'[09:20:04.445]',-0.175
'[09:20:04.453]',-0.205
'[09:20:04.461]',-0.185
'[09:20:04.469]',-0.195
'[09:20:04.477]',-0.175
'[09:20:04.484]',-0.175
'[09:20:04.492]',-0.155
'[09:20:04.500]',-0.145
'[09:20:04.508]',-0.155
'[09:20:04.516]',-0.155
'[09:20:04.523]',-0.135
'[09:20:04.531]',-0.145
'[09:20:04.539]',-0.125
'[09:20:04.547]',-0.125
'[09:20:04.555]',-0.115
'[09:20:04.563]',-0.115
'[09:20:04.570]',-0.125
'[09:20:04.578]',-0.135
'[09:20:04.586]',-0.125
'[09:20:04.594]',-0.145
'[09:20:04.602]',-0.115
'[09:20:04.609]',-0.105
'[09:20:04.617]',-0.075
'[09:20:04.625]',-0.045
'[09:20:04.633]',-0.045
'[09:20:04.641]',-0.055
'[09:20:04.648]',-0.055
'[09:20:04.656]',-0.085
'[09:20:04.664]',-0.075
'[09:20:04.672]',-0.085
'[09:20:04.680]',-0.095
'[09:20:04.688]',-0.095
'[09:20:04.695]',-0.095
'[09:20:04.703]',-0.105
'[09:20:04.711]',-0.095
'[09:20:04.719]',-0.105
'[09:20:04.727]',-0.095
'[09:20:04.734]',-0.085
'[09:20:04.742]',-0.085
'[09:20:04.750]',-0.065
'[09:20:04.758]',-0.075
'[09:20:04.766]',-0.075
'[09:20:04.773]',-0.065
'[09:20:04.781]',-0.075
'[09:20:04.789]',-0.065
'[09:20:04.797]',-0.055
'[09:20:04.805]',-0.045
'[09:20:04.813]',-0.045
'[09:20:04.820]',-0.055
'[09:20:04.828]',-0.065
'[09:20:04.836]',-0.055
'[09:20:04.844]',-0.075
'[09:20:04.852]',-0.065
'[09:20:04.859]',-0.075
'[09:20:04.867]',-0.075
'[09:20:04.875]',-0.085
'[09:20:04.883]',-0.085
'[09:20:04.891]',-0.095
'[09:20:04.898]',-0.085
'[09:20:04.906]',-0.105
'[09:20:04.914]',-0.095
'[09:20:04.922]',-0.105
'[09:20:04.930]',-0.095
'[09:20:04.938]',-0.045
'[09:20:04.945]',-0.005
'[09:20:04.953]',-0.005
'[09:20:04.961]',-0.005
'[09:20:04.969]',0.015
'[09:20:04.977]',0.105
'[09:20:04.984]',0.085
'[09:20:04.992]',0.025
'[09:20:05.000]',0.025
'[09:20:05.008]',-0.025
'[09:20:05.016]',-0.115
'[09:20:05.023]',-0.105
'[09:20:05.031]',-0.155
'[09:20:05.039]',-0.175
'[09:20:05.047]',-0.165
'[09:20:05.055]',-0.125
'[09:20:05.063]',-0.205
'[09:20:05.070]',-0.065
'[09:20:05.078]',0.625
'[09:20:05.086]',1.575
'[09:20:05.094]',2.445
'[09:20:05.102]',1.905
'[09:20:05.109]',-0.095
'[09:20:05.117]',-0.975
